"Isolation","AvgDiff","VarDiff","AvgTraitCounts","VarTraitCounts"
"Pathogenic",5.76766666666667,22.4376573333333,74,192
"Clinical",0.446285714285714,0.114635914285714,11,0
"Rotting.Decaying",2.29000000000001,NA,91,NA
"Spoiled",0.0706666666666678,0.00113233333333334,17,0
"Contaminated",0.2575670995671,0.0175666291737248,2,0
"Plant.Pathogen",0.0850000000000009,NA,29,NA
"Animal",8.514,NA,72,NA
"Insect",4.64699999999999,NA,201,NA
"Tree",9.902,NA,64,NA
"Stone.Chamber",0.167857142857143,0.00745691852974612,2,0
"Lichen",0.297444444444444,0.0349932825396825,5,0
"Pollen",0.39075,0.0603521203703704,7,0
"Feces.Dung",3.372,NA,20,NA
"Pine",3.26,NA,27,NA
"Bromeliad",0.282814229249012,0.0232703740824393,2,0
"Flower",8.53400000000001,NA,73,NA
"Cactus",4.3088,16.8917299555556,44.2,13.0666666666667
"Ipomoea",2.3144,4.00608511428571,34,0
"Oak",0.240666666666667,0.0120503333333328,63,0
"Hibiscus",0.3581,0.0608558777777778,15,0
"Beetle",0.409333333333336,0.0357723333333322,147,0
"Ant",0.229722222222222,0.0217867206349206,4,0
"Fruit.fly",0.214000000000001,0.00991899999999953,54,0
"Bee",0.114666666666667,0.0028653333333334,27,0
"Water",0.187466666666667,0.00922525454545455,4,0
"Tree.exudate",0.195999999999998,0.00810299999999992,51,0
"Tree.flux",0.217333333333334,0.00938533333333335,53,0
"Honey",0.306933333333333,0.0580134952380952,5,0
"Nematode",0.571095238095238,0.20685299047619,5,0
"Mushroom.Fungus",0.708500000000001,0.3619471,55,0
"Soil",4.679,NA,44,NA
"Insect.Frass",1.17566666666667,1.09062706666667,79,0
"Unknown",0.2042,0.0215610666666667,3,0
"Air",0.407333333333333,0.0591829714285714,9,0
"Leather.Tanning",0.062,0.000902999999999965,18,0
"Industrial",0.139000000000003,NA,45,NA
"Fodder",0.1878,0.0132317428571429,5,0
"Freshwater",0.278333333333334,0.0586022666666668,12,0
"Seawater.Marine",0.140666666666666,0.00392033333333323,36,0
"Brine",0.203489473684211,0.0125973411584517,1,0
"Plant",0.170000000000002,NA,76,NA
"Food",0.187333333333333,0.00723033333333315,53,0
"Pickled.Salted.Brined",0.659,0.261313,22,0
"Fruit",0.588000000000003,0.0713879999999989,132,0
"Drink.Juice",2.64,4.581759,39,0
"Sugar.Cane",0.477944444444444,0.12319953968254,5,0
"Fermented",3.88916666666667,15.4665733666667,58,307.2
"Wine",0.140666666666666,0.00436033333333333,29,0
"Beer",0.121333333333334,0.00290433333333319,26,0
"Tequila",0.201666666666667,0.0326154666666667,11,0
"Cider",0.0693333333333328,0.00163033333333337,17,0
"Wood",0.390972222222222,0.030702084920635,11,0
"Silage",0.4361,0.128524988888889,8,0
"Dairy",0.0773333333333331,0.00117033333333335,20,0
"Olives",0.194,0.0321576,13,0
